tx_hash,gas_used,gas_price,gas_cost_in_eth
0x0c7c827d1e57d9ee3461dcc875ebc10f690da57c7e55816074364ec545d84164,213478,47912453646,0.010228254779440789
0xa29d2720d7155009475e5bb577d3ede63d915cc032f198f7c68fcfafb355ee99,185544,28141397756,0.005221467505239264
0x56624c24d0789dadac8fc678a2b4dd83785e186ead026a96afa5301ba39d060d,213466,48932150130,0.01044535035965058
0x21dea65128a4369166ef69d8bd2c456b9881309b4cd1d080eb0a43f9ac29539e,183449,46044455520,0.00844680932068848
0x8636b2dc14385a562ddf9575c8e657f60c83a9e4bbad5d53f3f430e567ea01cb,213454,50577030513,0.010795869471121902
0x86533ccae077954259cc92059d28f39efd9655259be73288e54a8f822319ecf1,171980,30038439750,0.005166010868205
0x981bc3f93ed41b53f57ced2888f0fc6b1f2be8fd2b929f0289f85591dcfff482,198982,44849791896,0.008924301291049873
0x38f0c65b51afe00da7f3b0508e510dbaf8020491ebab9b382f09936c9aaa3626,218673,47649698322,0.010419702481166707
0xfdc01b01adb316106af232b043cf264cd59af08c0910647c75b527e922f663a6,188358,49310881083,0.009288098939031713
0xfc838535a409f07e370972ecf5cdea118c2b668bb85f9e0e5df4859c7597d67f,237409,49423056574,0.011733478438176766
0x51260773f2c2d553d3ccadeed03e947663af500b18086471b1f825a00d418049,223870,54731618499,0.01225276743337113
0x8c257ff6ba3406c99bd5865f34424639de6463a7fd39a1111012cf4564f04590,177159,37226963260,0.00659509158417834
0x9989942e81e816778c4e167cf674a49040de881a15c329b2fc6e1b6430157118,167861,50895625285,0.008543390555965385
0xa2f32c1be14bc1f765bd3e0e84d36cc2a108122f070ccf2a239a2f8e25a41b43,223260,29777984491,0.00664823281746066
0x859d12b6a6d3576e5f91bd38ef2c598fa4e44519b412af62613a51ed4e844588,183099,45685978396,0.008365056958329203
0xf675815ed371d4ca37b7e49eb4dc24df13ef2390e66de92ecacfb61058f7275b,161454,45842306007,0.007401423674054178
0x3df705b62d96992d1dc332d0bc034a5924c5df82b4a38f5f67a6127f28f0c245,248466,50056475005,0.01243733211859233
0xedd5bc0861563be9dda4fc6e9952fb7c1350b355ccba03be31f2380c3ff988b3,165641,47253829789,0.007827171620079749
0x7f9cb6a821ffbc6430772d5ebb198f229290e84eec631b4213c1cad35fbc4e46,180865,45441104938,0.00821870544461137
0x7cf6b6c32e40629986ed57f3f24451acb9593be01c28bad3b8e49295309e3d38,228120,43744108406,0.00997890600957672
0xecfa6f676e4b46ef2871d2f2eb5f683a249916b43f4a30de257dfd2f906a2a54,202365,36711292782,0.00742908076382943
0xffa1a816414eded7f6a31d70e0d5592532202e979767ccd763c7dd14d76bd8bc,188358,39877159995,0.00751118210233821
0x1d0f2463847f368b9e974b3e9116b98b3f47a96527696515b429a6810ff9f3a1,188358,39873987067,0.007510584455965986
0x499b4a6e544ce5b6709b66e68d7020cb457d4fba03d7d9ab8d0784a51bca2b1e,180841,35316229431,0.006386622246531471
0x73b02ec2595874706e9e62c01b90cf89b70e69baaf2d539348dd878b8edc5f89,169285,36003974779,0.006094932870463015
0x4de0e27150ceb8358cd9c27aeeebf791b0d5f88492aac686b45c745fe018916f,213454,49407534285,0.01054623582327039
0x91bdf6aec815f33f858091a693c09457f1731f42364bd37e7aff1494d1b5a22c,213454,46320624137,0.009887322504539197
0xf95936f7037724be9cdb2cdce24b4ecf467772af01fa498d1c8c857440c35eeb,213442,47951806047,0.010234929386283774
0x2efcf8c8df4bb4ae4beb3d3e343b2ee6f879522d4134f4f710e083fcbc6329c7,217728,47816096070,0.01041090296512896
0x054925c7c70331f337bbd331dbf1f41650d4246e75217f79e303dc196968d177,185992,36983022492,0.006878546319332064
0x65e4154d3dff8fe1343d87dec7512b4e4bc6449b0531935168c47a42bf169e98,213454,38526935018,0.008223728387332171
0x7ff3f613dd79d92c6bb5cb23f3a4e8ab7dfeebebefdf44dcef8496b6997c7e33,171980,25095991191,0.00431600856502818
0x1f39d107d6851d7b8ba412b781cd4a861b2d07534d047076ecce4f0a7889855d,159934,40266361660,0.00643996028573044
0x2057100bad2347b5473222956e6c4a859445fb4b95d4f4bad16f42de2e8c74b1,207819,44625686675,0.009274065579111824
0xa1fe8a84331b3fa7e2d029f25fae0a2fd4e85e01da183d3692a86f5ecf5a1439,263241,35307810861,0.0092944634388605
0xafe19ca2f0fb20028dbdaff9c6bc09f49a917009a1af1fab51e4cd7dbc69effb,212728,51216064689,0.010895091009161592
0x1058d48df342f01346698d82ca9638129b5ee1549b918b89745d59687c36c60b,169854,43806497901,0.007440708894476454
0x63a09a01c46321220df6a60b1c41624d2b7d7a87e3c111a71a53ac1a9e43ba57,169878,47692936159,0.008101980608818601
0xfa308c3d64ba8593d460c3eee20fa76441ff0df6192e307d95338c5056f389e6,177503,38747248291,0.006877752813397373
0x35815dd7f5fd78b3a80038fcbd3114254393fcaf2b6ca274cc5920ca527bbc03,182376,20441401049,0.003728020957712424
0x54c1cd032411e0b9485b308333d268cc7793d3813f6a14aac11e5c84334de4a3,174887,20817123573,0.003640644290311251
0x9ef307a398dc23cff7d49424aba9d032f0bf6d78b6c2a541de4521232a15d502,281716,21586974565,0.00608139612655354
0x725588ac842be90d9481288e25bbb9d57ca91efbdcc307c6aef993433469d129,193791,51711018887,0.010021130061130616
0x10800a194ccae8774e78112235f608115dd204ae7e2e7dc73ebbde9963fcbabd,196394,48325230010,0.00949078522258394
0xa1c8ec0d9314f322c44f7b85fce15d5505be72116838ad2b1df28e57780f84c6,200165,38412936947,0.007688925523996255
0x248bc433520ed2906de46b52844fe29a09bcaf43818dad362063c44f1f19e8e3,258070,48174740535,0.01243245528986745
0x64306da9fd2e40269c46fc98346b0c2783f4ee99534d061f92bcabe073e12b6f,217728,47372374895,0.01031429244113856
0x4148fd4b1c600163210584baefc8d824e89cae1f1a64d133c1a9cba6485d72c0,213466,45353454390,0.00968142049481574
0x389e39a9db03008f0ccf8116a5815530cd049d4a2914aa549b5d11681d2ce4e3,172509,40735982210,0.00702732355506489
0xc10e3bcbe096d5ebc81ec56151a97bad985dd72b12e4c7fa98c36d371a5c5ba7,166515,20092487052,0.00334570048146378
0x95eb782058a8bc8178fe4dc342973b7b9bb3e47541e5f040e1f7608598cc4862,213490,40176723627,0.00857732872712823
0xfe22162183633703425e12d0f6bff6ccd7163713ecf8d1eaea799cb4d02d9d01,172323,41727342854,0.007190580902629842
0x937e61a72815f54f7b9babd2c7824be5229e584427f18292f4ea8b9531a1f1dd,180829,46396743951,0.00838987681191538
0x2d75a5a87cd0163055b3fa235da813ed4c0d131948ae02608e1e7d75bb990da1,179151,45643301236,0.008177043059730636
0x31201e8314efe0a9339b7065732db9e5a0e604444ab19cd3cbc6c62fc0b6b817,213466,106419438207,0.022716931796295463
0xa93990e53e3326b1183483e2c6057eb86b26a48e0a56007e168725f6c536389f,188846,54938418297,0.010374900541715262
0x8fe10bc8498c3565dfe4b86961589f1589904e2d3327bcdeb06d88cc9fd68b3b,158156,47064756160,0.00744357357524096
0x2fa71a25cae0be6f7d3bc22482972cdf689cac0dcf1e2e1fb6b1dda9d99d08ea,158948,47707187689,0.007582962068791172
0x690f69a6e61645af063a73146dd250e1fa8207c03da5df7ee06fa9f71829e0c0,169329,52399185322,0.008872701651388938
0x155379dd0d6275745980fad2d8f5cd8557e709a9fd5e4dce0a10535c76538c91,209536,47567674355,0.00996714021364928
0x3060bba07ea2e048ab19ef72620454d520c1fa5a55ad8efbf8515ff067a687ee,205286,52087939937,0.010692924837906983
0x9759da7df89f31886045fe3fae2e27af1c79d9a1998b021264d815bb8da38596,283545,60761938744,0.01722874392116748
0xddcfa941a36495b69b0bc15d1cad99f52889a723de18252f482391fb310ae4a8,223455,55586779908,0.01242114390434214
0x0834b6769094c5c5efb2ed436c4d511078e79ec6b185e87dd3511ead267feefa,252811,59376223183,0.015010962359117412
0x44cd26135501e1771f3340caae57aceed319299b7870555f8866ad5828d62846,269862,68850791733,0.018580212358650847
0x98636f6da7ae730278f1eadb32ec03477a8eacb66063a0ca7ae5ed90fc6b11fe,295300,60916530260,0.017988651385778
0x6b0e3a5913c4bc4f032c4760d94fceccea7ae67281b5c3cba1df17077dc8bef7,183977,43863944257,0.008069956872570089
0x69ce72f8a3059cfb5b83418f275e49a4028f00cfd14baf844e3c9487be68938f,270636,68032241227,0.018411973636710374
0xfc3559f5ae62ef51d7ba15e743f82448005fe0b3fd03703c3bc2a791d8987e06,287562,54569960115,0.01569224687058963
0xfaf3a162aaa6d9b508def98c3a9ac2f1be27abbadd9ad0cf222226fbe3b6f756,229402,55310550540,0.01268835091497708
0x98c1cf98972d55ffb48d7b6365e58eafb274b5308113c39fff71a25e8e86a74e,219044,48015178245,0.01051743670349778
0x0ec1ac62774f3141adfe74c3ba0a1a3ec82010fabc09bffb6d94ae7d4835e52e,233022,50012945206,0.011654116517792532
0x7d88e6ae13e379229a2c64320e67e5901474d661d7b7845f87b34b14ffc54266,163746,33463396473,0.005479497318867858
0x8e81a5ccd2fa55508cd148d629e6d9c150c1c3d14aae96acaa7323ca3f66bbd4,227253,53387582835,0.012132488362002257
0x41cf39f7b271809bce2fb56d76a8a1ef0082ad422d358d86ed955fb0d9a41e91,281028,72167622694,0.02028112267044943
0x1045651430dc46a075baf82d4e4efc3879d5a8beb960045f3b049ffc44d16c0c,260003,64229436249,0.01669984611304875
0xd860b28ad0d1c8c1b69b915269e838995f71c2f0dce51e2732c88d9403febcc1,295015,67573399627,0.019935166490959402
0xea62f71292046e63c52300077f65d258718fb4be672df1a4a12ace343e9f7e92,172088,43003175238,0.007400330420356944
0x4d7ed6234b756a23c404264b7ac00fe0793584f8b627e98526f90fefdfd7e38a,220243,63416768644,0.013967099376460491
0x6d14da5025f03ac013a76f8d2191bc9a0c0ef23b4be3a82c9304779682ef3ef9,291621,82715042953,0.024121443540996813
0xf4d21dcd58469db537593e2a12af9b13eabfe17c5ce045691f42242bc94e6eae,263087,86154066211,0.022666014817253357
0x99773d2be2db639def8331c2c0400982fcc9620ba3f150bb37059954dabbbb2d,273312,75943464428,0.020756260149745537
0xfc2ef1b2467a2b0cc5b54df7970e70a7e011fcedce5cdc059312ec3bd57fb633,294721,58512715170,0.01724492592761757
0x2ea60c0b856800f56738c6409c0f4691b20df10cf19195925d2fac08772379cd,243620,63497863095,0.0154693494072039
0x911fb5df6b84c19d07281a5ffa4d4763283480ee82d497f8a82ae37fccda80ce,309513,77681349079,0.024043387397488528
0x5929f9aa6d879d5cc7051d3ac530bc289abe4764b8e5ae5feee590d7276735a9,170277,36984645479,0.006297634478227683
0xde5cf4c4b85652018d80df238820ad692e40c4ce5542b1ebc9cddde011185332,226946,46567236919,0.010568248149819374
0x31cd0a4bc3c5524b963dd6a80ab87d92f5203f77aca7da80d34a431ba285db6b,174999,31905611803,0.005583450159913197
0xfd9a332949d599f9740deb31152f421cfbf2bcf30a69dceded154c1c3ea3b145,265538,47572561312,0.012632322785665857
0xf44b880db39d14127b790286af2a29f15d4b087419cea07ebe9db2e7f8aeb87b,201967,32025375580,0.00646806902976586
0xb8dfe21ac53f8cea6303daf2de0caaf1ae46aad05c6229b5fe0388b9df19a160,227917,45550685226,0.010381775524654241
