time,function,tx_hash,tokenIn,tokenOut,execution_price,eth_amount,gas,gas_price,reserves_after
2023-11-19 22:34:41.196110,BUY,0xb73edd5216557afe0a6e19e37b905365bcbf8b8fb2dfa8f9c214a60caae33666,WETH,PEEP,2.1122828044110533e-07,0.017670396638034918,600000,35590279231,[6236825101390568, 1444625039863406134]
2023-11-19 22:34:43.902521,BUY,0xb73edd5216557afe0a6e19e37b905365bcbf8b8fb2dfa8f9c214a60caae33666,WETH,PEEP,2.1667463477532732e-07,0.017670396638034918,600000,35590279231,[6236825101390568, 1444625039863406134]
2023-11-19 23:16:18.818273,BUY,0x0aef574f21457f7037b4f37b65ab4135683d0b82cf9e60241f1633c758971371,WETH,FARM,2.3713597242673695e-24,0.05,600000,36647606855,[5260610003098288094695302, 12882911104225467768]
2023-11-19 23:16:22.124713,BUY,0x0aef574f21457f7037b4f37b65ab4135683d0b82cf9e60241f1633c758971371,WETH,FARM,2.3901028521588417e-24,0.05,600000,36647606855,[5260610003098288094695302, 12882911104225467768]
2023-11-19 23:19:30.821338,BUY,0x3b0a220fd5a4fd7c9266790b987b02c51dd5142f583246ade24b8f5f16730854,WETH,QQC,3.0618323211399613e-27,0.05,600000,46491455239,[1954196974148907624444017828, 2680414673695776208]
2023-11-20 00:11:40.280510,SELL,0x508cea1c576beee55f613e41648d9f7453b3ed97e2051cd57f9afd6e5161fa16,QQC,WETH,4.3272706601134405e-27,0.06925849506347465,550000,18685757062,[1109840712673730866768590157, 4946655968267991524]
2023-11-20 00:27:06.241465,BUY,0xc2715e928d3af44f835dc48d558c374f0f203d9f578be61d504478e4bb5a9279,WETH,Tigris,2.422290331640352e-10,0.05,600000,48431537835,[11258383631844916539, 3003863601682492404]
2023-11-20 00:55:54.246010,BUY,0x15bce20f1706c3d04e5c53424a19329a4aa9c7d4b2410786584c60f8abc1534f,WETH,DURR,2.148706408523745e-07,0.05,600000,36092571278,[36084961488901901, 2928204308701610576]
2023-11-20 00:55:57.449132,BUY,0x15bce20f1706c3d04e5c53424a19329a4aa9c7d4b2410786584c60f8abc1534f,WETH,DURR,2.1940916291768966e-07,0.05,600000,36092571278,[36084961488901901, 2928204308701610576]
2023-11-20 00:59:54.096651,BUY,0xa40f6a7b0ff7fa019049174850b0b302d6ffc3b2152d0f381e34cf3ef254c559,WETH,KBOT,1.2025990277310803e-24,0.05,600000,46757817167,[3187410405329393172753671, 4721990874214409536]
2023-11-20 00:59:57.989491,BUY,0xa40f6a7b0ff7fa019049174850b0b302d6ffc3b2152d0f381e34cf3ef254c559,WETH,KBOT,1.2310371029089606e-24,0.05,600000,46757817167,[3187410405329393172753671, 4721990874214409536]
2023-11-20 01:26:16.919672,BUY,0x62a6fbd9de4c4662d7a23e329539556608660ddedc1a59bbee5c3414a342b729,WETH,RIBBIT,1.2011746270927584e-09,0.05,600000,43329680044,[2448100387453152204, 3080008128597477488]
2023-11-20 01:26:19.881947,BUY,0x62a6fbd9de4c4662d7a23e329539556608660ddedc1a59bbee5c3414a342b729,WETH,RIBBIT,1.2414219288917841e-09,0.05,600000,43329680044,[2448100387453152204, 3080008128597477488]
2023-11-20 01:38:29.136189,BUY,0x414e88807633792833e0dfb3deb5ef238c5fcba59e68a780a71d799e10879670,WETH,CLARINETS,5.060488652480215e-14,0.05,600000,39417320614,[123030753893174002229316, 6356346370146078701]
2023-11-20 01:38:31.759634,BUY,0x414e88807633792833e0dfb3deb5ef238c5fcba59e68a780a71d799e10879670,WETH,CLARINETS,5.141253009511545e-14,0.05,600000,39417320614,[123030753893174002229316, 6356346370146078701]
2023-11-20 01:56:51.955936,BUY,0x552767c5ff9693c42b1f4beba3c684250cbd73711a979743637b6aed457e6bc5,WETH,Transformers,2.2522767502123958e-09,0.05,600000,206449087965,[1660267092407185698, 4537476975672552456]
2023-11-20 01:56:54.930825,BUY,0x552767c5ff9693c42b1f4beba3c684250cbd73711a979743637b6aed457e6bc5,WETH,Transformers,2.30729597964101e-09,0.05,600000,206449087965,[1660267092407185698, 4537476975672552456]
2023-11-20 04:53:04.656571,SELL,0x2274a3bef5c07e12a9df04c6a285015eba8baa8fdf38ef6a74bbc48d43bd3249,CLIPPY,WETH,6.065206726594472e-28,0.006086314445684263,550000,32693768506,[29950705219820650480227648158, 18041403853376436337]
2023-11-20 04:53:07.329069,SELL,0x2274a3bef5c07e12a9df04c6a285015eba8baa8fdf38ef6a74bbc48d43bd3249,CLIPPY,WETH,6.034371026299128e-28,0.08608713775487223,550000,32693768506,[29950705219820650480227648158, 18041403853376436337]
2023-11-20 04:53:17.465565,SELL,0xd90a83573ce9b88d20d9fc1b9847014718f83597e54835a0ecdbd67ba43a16e8,CLIPPY,WETH,6.005340015317246e-28,0.000865383611112258,550000,31983919212,[30093521639869209606404165610, 17956039464169579198]
2023-11-20 04:53:20.133716,SELL,0xd90a83573ce9b88d20d9fc1b9847014718f83597e54835a0ecdbd67ba43a16e8,CLIPPY,WETH,5.976924391442207e-28,0.08449900559574489,550000,31983919212,[30093521639869209606404165610, 17956039464169579198]
2023-11-20 20:23:54.566398,SELL,0x2b294e8b205af5669710cf4fc4e69b089d5a8495d551dca8cff66e6001d38820,Buddy,WETH,1.1424398062232784e-09,0.000760970693330657,550000,31896199899,[25675202816527443616, 2744674188257266624]
2023-11-20 20:23:57.210207,SELL,0x2b294e8b205af5669710cf4fc4e69b089d5a8495d551dca8cff66e6001d38820,Buddy,WETH,1.1033582675248725e-09,0.09645456410684979,550000,31896199899,[25675202816527443616, 2744674188257266624]
2023-11-20 20:24:29.136135,SELL,0x1e48e23bdfe6e9736ed682c711f1a8f1a83979b928d287eba130c87b3dc5a3e0,GTAVI,WETH,2.80342274012825e-26,0.0864591173879626,550000,30291540772,[187722354974538048188328615, 5191767372389680298]
2023-11-20 20:25:05.575981,SELL,0x0325b06ebeb0112550af7a9852877394d8bbb623827ec1b0c37564c3c8b374f7,FARM,WETH,2.5244717521372416e-24,0.1336763598751771,550000,28941784765,[5372310877209489477071698, 13278905794814947644]
2023-11-20 20:25:08.284289,SELL,0x0325b06ebeb0112550af7a9852877394d8bbb623827ec1b0c37564c3c8b374f7,FARM,WETH,2.4905546666606444e-24,0.04739318045379356,550000,28941784765,[5372310877209489477071698, 13278905794814947644]
2023-11-20 20:25:11.669958,SELL,0xcb81d49dfbae181ff2194759fee546a5a7b435ae5826e1d8fdbc79bf7494cda7,FARM,WETH,2.4730064204289307e-24,0.04669021444874588,550000,28941784765,[5372310877209489477071698, 13278905794814947644]
2023-11-20 21:55:56.310394,BUY,0x88f7751d105831a9e0b2e60970975ecd266cc555487f234811596a6cbb33aa75,WETH,JEST,1.5730857240906075e-05,0.05,600000,99486764866,[348430056913988, 5613623463401768766]
2023-11-20 22:02:06.286003,BUY,0xfca3836175b12a67e5b9818ded86b97182daba89ef4a5893c02769996ee56ad9,WETH,ELON,2.523995373611262e-11,0.05,600000,101916660665,[223259700859498431701, 5914102661799961925]
2023-11-21 00:11:28.374202,BUY,0x0e020c4229de8c1d9a03ebed590879956208659af77b067599fafa31fbbc7792,WETH,FAI,6.79163428076562e-10,0.05,600000,47109053937,[2606727343344601944, 2091706815718867683]
2023-11-21 00:52:41.340663,BUY,0x47b6eeb62a46ad087e3557815cf37c75f846f81b08d637fd34f6454d77ed23c8,WETH,HULLO,2.6242554198591396e-08,0.05,600000,54100715040,[195023378320491452, 5152557840841185617]
2023-11-21 01:10:40.819697,BUY,0x2c70f09b47506ec30fcfd6446501452e92e5c2aaee46c61886ee640499c54614,WETH,Wallpaper,1.426831560763825e-09,0.05,600000,47576609401,[2360456459399746902, 3486721548838207458]
2023-11-21 01:40:16.194394,BUY,0x31d62b4926fb13a4ee86eb271d8b74fdac0a885532899dfafd9ad4dcfc2f71e2,WETH,BITCOIN CROCS,0.0017870494325963329,0.05,600000,50291488224,[963985418488, 1767521526326775681]
2023-11-21 01:56:04.796463,BUY,0xdbff6574340fa7773ed3091f83816890b0895ef2bafbc2dbdbdcd59ce83f2e10,WETH,AGI,1.1075073011981032e-07,0.05,600000,51376169990,[26633529298683574, 3089072356361894706]
2023-11-21 03:27:55.635900,BUY,0x89701ab31aa88f1bb2ea7e2d23c982505f9a2d7cad2688a87973ccae65bb28c6,WETH,TROLLS,1.0816919616930319e-08,0.05,600000,52114555393,[238522697664538065, 3285962317201689155]
2023-11-21 04:59:40.442836,BUY,0xe8094f3a6d9882bea5ce947ae799fc84409e68d924cbbcb28ee0a75429abe073,WETH,RFK,1.825147358446325e-08,0.05,600000,45151468605,[344264179347473811, 2336491993475061508]
2023-11-21 05:02:52.833884,SELL,0x33385d4a438205120e72c46b2af81b3ddc0f5e73e6430199b8f4e3c7e0209974,JEST,WETH,0.00024035710654761008,0.6894801895958608,550000,29687202268,[93843400328922, 21932244716201473722]
2023-11-21 05:03:30.560626,SELL,0xdd27b0d014451a6793f96438f89f382685bfda649183c572c2ca84edf229f033,TROLLS,WETH,3.702271605740619e-08,0.17113336036749013,550000,31679643416,[145046945360350094, 5838116733855019786]
2023-11-21 05:03:53.895165,SELL,0xc8c98615db794546f2466253c93336e26ab9a4b60a300de7ddb4a4045bab2f57,STARRY,WETH,2.021149871892205e-21,0.06928402119267042,550000,30620700031,[25771217250324502339473, 52174732620668878443]
2023-11-21 09:28:30.512383,BUY,0xdba8bc9d01bfed778afee786c97a4dd9b6f9ba1723a2162c8f317441b7a647e7,WETH,Cyberbeer,2.21470074048386e-07,0.05,600000,43534712070,[14694027928187652, 1662256263841160057]
2023-11-21 10:02:30.167828,BUY,0xbaa53c494c201bfdcf23a19dc43c5fe4680a316107025475cd32696a54a36606,WETH,BEBE,1.1939196672308608e-07,0.05,600000,43953141270,[24130746526123375, 3068457833065040530]
2023-11-21 10:29:30.064908,BUY,0xeaec3a62e892fc7be48bf76ab25abd885f171ad33a7b300a514265143cb9f1fb,WETH,HDOG,1.0897935448840512e-11,0.05,600000,51795332134,[301622084704916139276, 3327196835031704473]
2023-11-21 10:58:46.265971,BUY,0xe0d1c78001002bece59e8cc6c96654fa0e915954560bedd1452800d8118c3ad4,WETH,GROOVE,8.145603299574583e-27,0.05,600000,52188444658,[272514452144348074898070785, 2760413371587522350]
2023-11-21 15:40:41.541837,SELL,0xc15f1fcee91a04f21f19c3b3070637c30adf9c4fe23657eb9670361ba609a3c3,GDAG,WETH,5.590586392897649e-26,0.1369578217938344,550000,66713734568,[3797779952071091733588359622, 215110839288369589715]
2023-11-21 15:49:52.462107,BUY,0xf6400c1af0eb7309a3700798e70b099a63f2e3751ef1648c2d821b773d9b51cd,WETH,UPAI,2.4614818762744884e-05,0.05,600000,89368563138,[201611211050966, 5377157758076766436]
